K,transitions,probability,time
100,261275,8.511582811412971e-26,16.90493106842041
101,633598,1.5622852201779191e-18,911.3342607021332
102,1035122,2.782044305258277e-17,3762.560868740082
103,1464680,3.2338269909942673e-16,9575.93771982193
